ID,Name,Category,Date,Value,Description
42,Item 42,Category B,2020-02-06,41.73,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
43,Item 43,Category A,2022-03-07,11.85,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
44,Item 44,Category D,2022-11-04,47.54,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
45,Item 45,Category B,2020-04-18,24.87,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
46,Item 46,Category A,2022-11-29,38.8,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
47,Item 47,Category D,2023-08-12,68.25,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
48,Item 48,Category C,2021-02-15,43.85,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
49,Item 49,Category B,2020-06-22,67.85,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
50,Item 50,Category A,2022-11-29,51.1,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
51,Item 51,Category A,2022-09-25,90.92,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
52,Item 52,Category B,2021-07-16,10.8,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
53,Item 53,Category A,2022-01-29,26.89,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
54,Item 54,Category B,2020-07-17,8.91,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
55,Item 55,Category B,2020-06-22,1.74,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
56,Item 56,Category D,2022-11-04,70.53,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
57,Item 57,Category D,2020-01-21,16.45,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
58,Item 58,Category C,2020-05-20,6.92,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
59,Item 59,Category B,2020-04-02,21.56,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
60,Item 60,Category A,2023-06-22,56.31,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
61,Item 61,Category C,2020-12-03,63.81,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
62,Item 62,Category D,2020-06-14,9.63,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
63,Item 63,Category C,2021-06-13,52.26,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
64,Item 64,Category D,2021-11-22,30.17,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
65,Item 65,Category C,2020-07-16,10.34,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
66,Item 66,Category B,2020-02-07,97.7,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
67,Item 67,Category D,2022-03-13,50.59,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
68,Item 68,Category A,2021-07-15,18.46,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
69,Item 69,Category A,2020-07-03,64.8,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
70,Item 70,Category C,2022-07-06,8.72,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
71,Item 71,Category D,2020-01-01,79.31,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
72,Item 72,Category D,2020-04-10,37.23,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
73,Item 73,Category B,2023-03-16,52.15,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
74,Item 74,Category B,2022-05-01,10.6,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
75,Item 75,Category C,2022-02-04,2.47,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
76,Item 76,Category D,2020-03-16,52.81,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
77,Item 77,Category A,2023-05-09,85.84,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
78,Item 78,Category D,2022-03-08,37.75,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
79,Item 79,Category C,2021-07-11,0.63,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
80,Item 80,Category D,2020-05-23,82.52,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
81,Item 81,Category C,2020-02-12,31.45,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
82,Item 82,Category D,2021-10-22,30.73,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
83,Item 83,Category D,2020-03-06,32.58,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
84,Item 84,Category D,2023-07-09,56.39,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
85,Item 85,Category B,2022-01-10,61.3,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
86,Item 86,Category B,2021-10-02,58.26,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
87,Item 87,Category A,2020-06-05,40.57,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
88,Item 88,Category B,2022-11-10,2.48,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
89,Item 89,Category B,2021-01-28,1.95,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
90,Item 90,Category B,2021-10-06,19.69,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
91,Item 91,Category C,2023-09-17,75.34,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
92,Item 92,Category A,2020-07-06,23.86,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
93,Item 93,Category A,2021-11-26,72.67,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
94,Item 94,Category D,2021-08-20,45.56,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
95,Item 95,Category B,2022-05-05,92.21,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
96,Item 96,Category C,2020-02-10,52.17,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
97,Item 97,Category B,2023-08-04,32.5,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
98,Item 98,Category C,2020-11-25,41.51,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
99,Item 99,Category A,2020-01-20,76.11,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
100,Item 100,Category A,2020-12-17,77.06,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
101,Item 101,Category C,2020-06-12,68.79,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
102,Item 102,Category C,2021-11-15,12.28,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
103,Item 103,Category B,2023-07-11,95.33,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
104,Item 104,Category D,2021-11-03,32.83,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
105,Item 105,Category A,2020-06-15,68.62,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
106,Item 106,Category A,2023-10-06,17.48,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
107,Item 107,Category A,2020-09-24,95.28,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
108,Item 108,Category B,2022-05-23,64.84,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
109,Item 109,Category B,2023-07-29,21.88,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
110,Item 110,Category A,2021-10-02,68.43,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
111,Item 111,Category B,2022-06-07,11.91,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
112,Item 112,Category A,2021-12-03,11.85,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
113,Item 113,Category C,2020-12-07,66.51,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
114,Item 114,Category D,2021-08-15,92.43,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
115,Item 115,Category C,2021-01-12,3.12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
116,Item 116,Category C,2020-04-06,94.83,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
117,Item 117,Category A,2022-08-16,6.52,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
118,Item 118,Category D,2020-03-17,67.22,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
119,Item 119,Category C,2023-08-16,67.52,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
120,Item 120,Category D,2023-07-23,75.71,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
121,Item 121,Category C,2022-05-14,0.28,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
122,Item 122,Category A,2023-11-19,79.39,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
123,Item 123,Category B,2021-08-03,92.28,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
124,Item 124,Category D,2021-09-19,45.76,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
125,Item 125,Category A,2020-09-10,40.87,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
126,Item 126,Category B,2020-12-08,95.78,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
127,Item 127,Category C,2020-09-27,3.96,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
128,Item 128,Category C,2020-11-02,15.96,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
129,Item 129,Category A,2020-11-03,50.67,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
130,Item 130,Category B,2023-04-04,54.21,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
131,Item 131,Category B,2023-09-14,76.57,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
132,Item 132,Category A,2021-02-05,47.14,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
133,Item 133,Category B,2022-01-25,22.62,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
134,Item 134,Category A,2023-01-05,12.26,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
135,Item 135,Category D,2023-05-16,55.47,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
136,Item 136,Category A,2023-11-02,54.66,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
137,Item 137,Category B,2020-08-24,63.35,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
138,Item 138,Category A,2023-10-26,10.81,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
139,Item 139,Category B,2023-04-23,31.86,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
140,Item 140,Category B,2020-06-01,72.48,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
141,Item 141,Category B,2023-01-13,12.01,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
142,Item 142,Category A,2020-03-06,18.3,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
143,Item 143,Category A,2022-05-05,20.72,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
144,Item 144,Category B,2021-01-07,72.92,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
145,Item 145,Category C,2023-06-16,76.13,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
146,Item 146,Category B,2022-10-19,35.57,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
147,Item 147,Category D,2022-02-26,21.01,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
148,Item 148,Category A,2020-03-14,56.74,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
149,Item 149,Category D,2023-12-13,79.95,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
150,Item 150,Category C,2022-11-04,13.72,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
151,Item 151,Category C,2020-12-26,67.98,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
152,Item 152,Category A,2022-03-01,41.81,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
153,Item 153,Category D,2023-12-08,54.23,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
154,Item 154,Category C,2021-07-21,45.63,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
155,Item 155,Category B,2021-03-18,97.55,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
156,Item 156,Category D,2021-06-15,61.4,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
157,Item 157,Category A,2020-03-20,97.16,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
158,Item 158,Category D,2022-12-27,63.14,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
159,Item 159,Category C,2020-08-12,76.9,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
160,Item 160,Category B,2020-10-27,14.87,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
161,Item 161,Category A,2021-11-30,47.43,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
162,Item 162,Category D,2020-08-29,48.96,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
163,Item 163,Category B,2023-03-01,66.7,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
164,Item 164,Category B,2022-07-03,9.56,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
165,Item 165,Category C,2023-08-19,40.47,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
166,Item 166,Category A,2021-03-28,25.86,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
167,Item 167,Category A,2022-07-17,73.06,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
168,Item 168,Category D,2022-07-23,80.52,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
169,Item 169,Category B,2022-05-11,21.8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
170,Item 170,Category B,2021-06-28,78.57,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
171,Item 171,Category D,2021-09-28,28.22,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
172,Item 172,Category D,2023-06-21,91.64,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
173,Item 173,Category B,2023-08-06,24.15,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
174,Item 174,Category A,2022-07-13,39.99,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
175,Item 175,Category B,2023-11-24,43.96,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
176,Item 176,Category C,2023-07-26,40.25,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
177,Item 177,Category A,2021-01-30,25.83,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
178,Item 178,Category A,2021-05-18,76.34,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
179,Item 179,Category D,2023-09-30,27.23,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
180,Item 180,Category A,2023-06-12,65.65,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
181,Item 181,Category C,2020-04-10,74.39,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
182,Item 182,Category A,2023-01-09,92.11,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
183,Item 183,Category A,2023-12-27,76.37,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
184,Item 184,Category A,2022-11-15,10.26,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
185,Item 185,Category A,2021-02-22,38.27,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
186,Item 186,Category A,2021-11-13,94.45,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
187,Item 187,Category B,2023-07-05,40.17,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
188,Item 188,Category A,2021-07-30,65.46,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
189,Item 189,Category A,2023-06-08,49.71,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
190,Item 190,Category B,2020-11-09,21.0,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
191,Item 191,Category A,2021-01-10,67.15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
192,Item 192,Category D,2020-04-01,58.89,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
193,Item 193,Category B,2023-05-20,40.13,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
194,Item 194,Category B,2022-05-01,87.65,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
195,Item 195,Category A,2022-01-17,59.0,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
196,Item 196,Category B,2023-02-24,43.39,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
197,Item 197,Category B,2023-11-29,1.51,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
198,Item 198,Category A,2020-01-18,73.53,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
199,Item 199,Category A,2022-09-14,33.0,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
200,Item 200,Category C,2023-12-06,77.45,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
201,Item 201,Category A,2020-02-15,36.33,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
202,Item 202,Category B,2023-04-03,47.16,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
203,Item 203,Category D,2023-07-16,0.41,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
204,Item 204,Category C,2022-09-30,21.0,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
205,Item 205,Category C,2020-08-14,82.39,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
206,Item 206,Category A,2021-07-01,61.84,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
207,Item 207,Category C,2022-01-09,86.86,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
208,Item 208,Category C,2021-11-04,89.26,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
209,Item 209,Category B,2021-09-02,73.29,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
210,Item 210,Category C,2022-03-14,71.2,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
211,Item 211,Category C,2023-12-27,69.27,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
212,Item 212,Category B,2021-05-25,32.97,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
213,Item 213,Category C,2021-07-23,68.75,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
214,Item 214,Category C,2023-04-02,21.01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit."
215,Item 215,Category A,2023-02-01,76.08,Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
216,Item 216,Category B,2020-05-03,83.23,Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.
217,Item 217,Category D,2023-06-28,38.53,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
218,Item 218,Category A,2021-10-03,24.05,"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
